Sorter,Combos,reverse_primer_i7,forward_primer_i5,reverse_primer_i7_well,forward_primer_i5_well,Var7,S_Row_R,S_Col_R,S_Row_F,S_Col_F,LastUsedDateTime,LastUsedBarcodeStartIndex,LastUsedBarcodeEndIndex
1,BC_00029BC_00125,BC_00029,BC_00125,A1,A2,A1A2,1,1,1,2,13-Nov-2015 14:19:29,2586,2617
1,BC_00030BC_00126,BC_00030,BC_00126,C1,C2,C1C2,3,1,3,2,NaT,0,0
1,BC_00031BC_00127,BC_00031,BC_00127,E1,E2,E1E2,5,1,5,2,NaT,0,0
1,BC_00032BC_00128,BC_00032,BC_00128,G1,G2,G1G2,7,1,7,2,NaT,0,0
1,BC_00033BC_00129,BC_00033,BC_00129,I1,I2,I1I2,9,1,9,2,NaT,0,0
1,BC_00034BC_00130,BC_00034,BC_00130,K1,K2,K1K2,11,1,11,2,NaT,0,0
1,BC_00035BC_00131,BC_00035,BC_00131,M1,M2,M1M2,13,1,13,2,NaT,0,0
1,BC_00036BC_00132,BC_00036,BC_00132,O1,O2,O1O2,15,1,15,2,NaT,0,0
1,BC_00037BC_00133,BC_00037,BC_00133,A3,A4,A3A4,1,3,1,4,NaT,0,0
1,BC_00038BC_00134,BC_00038,BC_00134,C3,C4,C3C4,3,3,3,4,NaT,0,0
1,BC_00039BC_00135,BC_00039,BC_00135,E3,E4,E3E4,5,3,5,4,NaT,0,0
1,BC_00040BC_00136,BC_00040,BC_00136,G3,G4,G3G4,7,3,7,4,NaT,0,0
1,BC_00041BC_00137,BC_00041,BC_00137,I3,I4,I3I4,9,3,9,4,NaT,0,0
1,BC_00042BC_00138,BC_00042,BC_00138,K3,K4,K3K4,11,3,11,4,NaT,0,0
1,BC_00043BC_00139,BC_00043,BC_00139,M3,M4,M3M4,13,3,13,4,NaT,0,0
1,BC_00044BC_00140,BC_00044,BC_00140,O3,O4,O3O4,15,3,15,4,NaT,0,0
1,BC_00045BC_00141,BC_00045,BC_00141,A5,A6,A5A6,1,5,1,6,NaT,0,0
1,BC_00046BC_00142,BC_00046,BC_00142,C5,C6,C5C6,3,5,3,6,NaT,0,0
1,BC_00047BC_00143,BC_00047,BC_00143,E5,E6,E5E6,5,5,5,6,NaT,0,0
1,BC_00048BC_00144,BC_00048,BC_00144,G5,G6,G5G6,7,5,7,6,NaT,0,0
1,BC_00050BC_00145,BC_00050,BC_00145,K5,I6,K5I6,11,5,9,6,NaT,0,0
1,BC_00051BC_00146,BC_00051,BC_00146,M5,K6,M5K6,13,5,11,6,NaT,0,0
1,BC_00052BC_00147,BC_00052,BC_00147,O5,M6,O5M6,15,5,13,6,NaT,0,0
1,BC_00053BC_00148,BC_00053,BC_00148,A7,O6,A7O6,1,7,15,6,NaT,0,0
1,BC_00054BC_00149,BC_00054,BC_00149,C7,A8,C7A8,3,7,1,8,NaT,0,0
1,BC_00055BC_00150,BC_00055,BC_00150,E7,C8,E7C8,5,7,3,8,NaT,0,0
1,BC_00056BC_00151,BC_00056,BC_00151,G7,E8,G7E8,7,7,5,8,NaT,0,0
1,BC_00057BC_00152,BC_00057,BC_00152,I7,G8,I7G8,9,7,7,8,NaT,0,0
1,BC_00058BC_00153,BC_00058,BC_00153,K7,I8,K7I8,11,7,9,8,NaT,0,0
1,BC_00059BC_00154,BC_00059,BC_00154,M7,K8,M7K8,13,7,11,8,NaT,0,0
1,BC_00060BC_00155,BC_00060,BC_00155,O7,M8,O7M8,15,7,13,8,NaT,0,0
1,BC_00061BC_00156,BC_00061,BC_00156,A9,O8,A9O8,1,9,15,8,NaT,0,0
1,BC_00062BC_00157,BC_00062,BC_00157,C9,A10,C9A10,3,9,1,10,NaT,0,0
1,BC_00063BC_00158,BC_00063,BC_00158,E9,C10,E9C10,5,9,3,10,NaT,0,0
1,BC_00064BC_00159,BC_00064,BC_00159,G9,E10,G9E10,7,9,5,10,NaT,0,0
1,BC_00065BC_00160,BC_00065,BC_00160,I9,G10,I9G10,9,9,7,10,NaT,0,0
1,BC_00066BC_00161,BC_00066,BC_00161,K9,I10,K9I10,11,9,9,10,NaT,0,0
1,BC_00067BC_00162,BC_00067,BC_00162,M9,K10,M9K10,13,9,11,10,NaT,0,0
1,BC_00068BC_00164,BC_00068,BC_00164,O9,O10,O9O10,15,9,15,10,NaT,0,0
1,BC_00069BC_00165,BC_00069,BC_00165,A11,A12,A11A12,1,11,1,12,NaT,0,0
1,BC_00070BC_00166,BC_00070,BC_00166,C11,C12,C11C12,3,11,3,12,NaT,0,0
1,BC_00071BC_00167,BC_00071,BC_00167,E11,E12,E11E12,5,11,5,12,NaT,0,0
1,BC_00072BC_00168,BC_00072,BC_00168,G11,G12,G11G12,7,11,7,12,NaT,0,0
1,BC_00073BC_00169,BC_00073,BC_00169,I11,I12,I11I12,9,11,9,12,NaT,0,0
