modulo_index,i7_sequence_id,i5_sequence_id,reverse_primer_i7_well_row,reverse_primer_i7_well_column,forward_primer_i5_well_row,forward_primer_i5_well_column
0,BC_00029,BC_00125,A,1,A,2
1,BC_00030,BC_00126,C,1,C,2
2,BC_00031,BC_00127,E,1,E,2
3,BC_00032,BC_00128,G,1,G,2
4,BC_00033,BC_00129,I,1,I,2
5,BC_00034,BC_00130,K,1,K,2
6,BC_00035,BC_00131,M,1,M,2
7,BC_00036,BC_00132,O,1,O,2
8,BC_00037,BC_00133,A,3,A,4
9,BC_00038,BC_00134,C,3,C,4
10,BC_00039,BC_00135,E,3,E,4
11,BC_00040,BC_00136,G,3,G,4
12,BC_00041,BC_00137,I,3,I,4
13,BC_00042,BC_00138,K,3,K,4
14,BC_00043,BC_00139,M,3,M,4
15,BC_00044,BC_00140,O,3,O,4
16,BC_00045,BC_00141,A,5,A,6
17,BC_00046,BC_00142,C,5,C,6
18,BC_00047,BC_00143,E,5,E,6
19,BC_00048,BC_00144,G,5,G,6
20,BC_00050,BC_00145,K,5,I,6
21,BC_00051,BC_00146,M,5,K,6
22,BC_00052,BC_00147,O,5,M,6
23,BC_00053,BC_00148,A,7,O,6
24,BC_00054,BC_00149,C,7,A,8
25,BC_00055,BC_00150,E,7,C,8
26,BC_00056,BC_00151,G,7,E,8
27,BC_00057,BC_00152,I,7,G,8
28,BC_00058,BC_00153,K,7,I,8
29,BC_00059,BC_00154,M,7,K,8
30,BC_00060,BC_00155,O,7,M,8
31,BC_00061,BC_00156,A,9,O,8
32,BC_00062,BC_00157,C,9,A,10
33,BC_00063,BC_00158,E,9,C,10
34,BC_00064,BC_00159,G,9,E,10
35,BC_00065,BC_00160,I,9,G,10
36,BC_00066,BC_00161,K,9,I,10
37,BC_00067,BC_00162,M,9,K,10
38,BC_00068,BC_00164,O,9,O,10
39,BC_00069,BC_00165,A,11,A,12
40,BC_00070,BC_00166,C,11,C,12
41,BC_00071,BC_00167,E,11,E,12
42,BC_00072,BC_00168,G,11,G,12
43,BC_00073,BC_00169,I,11,I,12
44,BC_00074,BC_00170,K,11,K,12
45,BC_00075,BC_00171,M,11,M,12
46,BC_00076,BC_00172,O,11,O,12
47,BC_00077,BC_00173,A,13,A,14
48,BC_00078,BC_00174,C,13,C,14
49,BC_00079,BC_00175,E,13,E,14
50,BC_00080,BC_00176,G,13,G,14
51,BC_00081,BC_00177,I,13,I,14
52,BC_00082,BC_00178,K,13,K,14
53,BC_00083,BC_00179,M,13,M,14
54,BC_00084,BC_00180,O,13,O,14
